Reference,Flight Number,Fleet,Aircraft,Takeoff IATA,Landing IATA,Level,Event Short Desc,Graph,Code,Event Datetime,Value,Threshold,Type,Validity,Status,Modified,First Comment,Latest Comment
68199568,,WH1-AW139,VH-ZXB,,TMW,3,Pitch lo 35-400ft,68199568,TPA012,2026-01-16 13:04:20Z,-17.2 deg,≤ -17.0 deg,Safety,Pending,Open,"3 days, 15 hours ago",,
68169622,,WH1-AW139,VH-ZXA,,OOL,3,Eng Torque Low Below 300ft AGL,68169622,ETB300,2026-01-15 10:45:28Z,16.0 %,< 17.0 %,Safety,Pending,Open,"4 days, 15 hours ago",,
68071286,,WH1-AW139,VH-ZXD,,,3,Eng Torque Low Below 300ft AGL,68071286,ETB300,2026-01-12 04:31:54Z,16.6 %,< 17.0 %,Safety,Valid,Open,"5 days, 1 hour ago","The aircraft is descending on the approach to land: 289ft RAD ALT, 71kts, -555 fpm. The lowest recorded engine torque was Eng(1) at 16.9, Eng (2) at 16.6%, both engines beneath the threshold for ~1 second.","The aircraft is descending on the approach to land: 289ft RAD ALT, 71kts, -555 fpm. The lowest recorded engine torque was Eng(1) at 16.9, Eng (2) at 16.6%, both engines beneath the threshold for ~1 second."
68042099,,WH1-AW139,VH-ZXD,,DGE,3,Eng Torque Low Below 300ft AGL,68042099,ETB300,2026-01-11 05:28:38Z,15.0 %,< 17.0 %,Safety,Valid,Open,"5 days, 1 hour ago","The aircraft is descending on the approach to land: 305ft RAD ALT, 44kts, -563 fpm. The lowest recorded engine torque was Eng(1) at 13.9, Eng (2) at 14.6%, both engines beneath the threshold for ~ 2 seconds.","The aircraft is descending on the approach to land: 305ft RAD ALT, 44kts, -563 fpm. The lowest recorded engine torque was Eng(1) at 13.9, Eng (2) at 14.6%, both engines beneath the threshold for ~ 2 seconds."
68042100,,WH1-AW139,VH-ZXD,,,3,Eng Torque Low Below 300ft AGL,68042100,ETB300,2026-01-11 01:21:56Z,8.8 %,< 17.0 %,Safety,Valid,Open,"5 days, 1 hour ago","The aircraft is descending on the approach to land: 241ft RAD ALT, 67kts, -557 fpm. The lowest recorded engine torque was Eng(1) at 9.2, Eng (2) at 8.8%, both engines beneath the threshold for ~ 8 seconds.","The aircraft is descending on the approach to land: 241ft RAD ALT, 67kts, -557 fpm. The lowest recorded engine torque was Eng(1) at 9.2, Eng (2) at 8.8%, both engines beneath the threshold for ~ 8 seconds."
67989781,,WH1-AW139,VH-ZXA,OOL,,3,Pitch hi 1000-500ft,67989781,LPA000,2026-01-09 02:07:32Z,16.3 deg,≥ 16.0 deg,Safety,Valid,Open,"5 days, 5 hours ago","The aircraft is descending to land at 504ft RAD ALT, 28 Kts GS, -426 fpm, maximum pitch recorded was 16.7 deg for 1 second.",Flight profile safe and within Company limits. Nil crew contact required.
67989766,,WH1-AW139,VH-ZXD,,,3,RoD hi 1000-500ft (3 secs),67989766,LVD302,2026-01-08 19:51:49Z,-1317 fpm,≤ -1300 fpm,Safety,Valid,Open,1 week ago,"The aircraft is descending, event triggered at 928ft RAD ALT, speed - approximately 99kts, max recorded RoD was-1,327 fpm (1,300 limit exceed for ~ 4seconds).","Flight was a ferry, nil client onboard. RoD high positioning for beach run. Acft subsequently flew under 500' for some period over water along beach. Crew contact made."
67961657,,WH1-AW139,VH-ZXA,LSY,LSY,3,Fuel qty low warn,67961657,FEX210,2026-01-08 11:32:12Z,12 s,≥ 10 s,Safety,Valid,Open,"5 days, 22 hours ago","The aircraft is manuervering to land at 40ft AGL, 18kts GS, -162 fpm The fuel qty low warning was illuminated for 12 seconds",Fuel above company minima on landing. No crew contact or FDM report submitted
67961657,,WH1-AW139,VH-ZXA,LSY,LSY,3,Eng Torque Low Below 300ft AGL,67961657,ETB300,2026-01-08 11:31:10Z,16.4 %,< 17.0 %,Safety,Valid,Open,"5 days, 22 hours ago","The aircraft is manuervering to land at 40ft AGL, 18kts GS, -162 fpm The fuel qty low warning was illuminated for 12 seconds.",Safe approach to runway. No crew contact or FDM report submitted
67926784,,WH1-AW139,VH-ZXA,,LSY,3,Eng Torque Low Below 300ft AGL,67926784,ETB300,2026-01-07 04:19:20Z,9.1 %,< 17.0 %,Safety,Valid,Open,"1 hour, 19 minutes ago","The lowest recorded engine torque was Eng(1) at 9.1%, Eng (2) at 9.2% , below 17% for ~ 9 seconds. The threshold for Level 3 Engine Torque Below 300 Ft < 17.0 %","Further to my comments above, crew contact was made on 19th Jan as there have been a number of Level 3 events in similar circumstances by the same pilot. No FDM report was submitted."
67926784,,WH1-AW139,VH-ZXA,,LSY,3,Roll hi 300-20ft (3 secs),67926784,LRA301,2026-01-07 04:19:11Z,-32.5 deg,≥ ± 30.0 deg,Safety,Valid,Open,"5 days, 22 hours ago","The aircraft is in a left, descending turn maneuvering on the approach, 221 ft RAD, 50kts, -326VSI, maximum roll of 32.5° roll was recorded. Roll limit was exceeded for 6 seconds",Safe approach to Base helipad. No crew contact or FDM report submitted.
67898658,,WH1-AW139,VH-XIB,TMW,TMW,3,Master warn,67898658,FWX005,2026-01-06 10:15:39Z,13 s,≥ 2 s,Safety,Valid,Open,"1 week, 6 days ago","The aircraft is at 120 ft RAD ALT, 16Kts GS, -170 fpm The Master Warning light illuminated for 13 seconds.",Pilot NPC flight. Instructor initiated warning. Nil crew contact. Entered by JF.
67774858,,WH1-AW139,VH-XIB,TMW,TMW,3,Master warn,67774858,FWX005,2026-01-02 10:48:28Z,16 s,≥ 2 s,Safety,Valid,Open,2 weeks ago,"The aircraft is at 387 ft RAD ALT, 26Kts, -28 fpm The Master Warning light illuminated for 16 seconds.",Pilot NPC flight. Instructor initiated warning indication for test purposes. Nil crew contact. Entered by JF.
67750643,,WH1-AW139,VH-ZXA,,LSY,3,Eng Torque Low Below 300ft AGL,67750643,ETB300,2025-12-31 18:05:22Z,13.4 %,< 17.0 %,Safety,Valid,Open,"1 week, 4 days ago","The aircraft is descending: 298 ft RAD Alt, 87 kts, -281 fpm. The lowest recorded engine torque was Eng(1) at 13.4%, Eng (2) at 13.5% , below 17% for ~ 2 seconds.","Safe approach to Runway, no crew contact or FDM report submitted"
67722314,,WH1-AW139,VH-ZXA,ARM,LSY,3,Eng gas temp (start) hi,67722314,GET030,2025-12-30 23:27:14Z,870.0 °C,≥ 870.0 °C,Maintenance,Valid,Open,"1 day, 4 hours ago",Eng gas temp high with a maximum of 870.0 °C.,Within RFM limits. FAST system check confirmed nil exceedance. Nil crew contact.
67722317,,WH1-AW139,VH-ZXA,LSY,ARM,3,Pitch hi 1000-500ft,67722317,LPA000,2025-12-30 22:25:56Z,19.3 deg,≥ 16.0 deg,Safety,Valid,Open,"1 day, 4 hours ago","The aircraft is descending to land at 515ft RAD ALT, 16 Kts GS, -316 fpm, maximum pitch recorded was 19.3 deg., exceeding the threshold for ~ 4 seconds.",Aircraft positioning for a winch in complex terrain. Acft well handled. Safe. Nil crew contact.
67722317,,WH1-AW139,VH-ZXA,LSY,ARM,3,Pitch hi 1000-500ft,67722317,LPA000,2025-12-30 22:04:36Z,16.3 deg,≥ 16.0 deg,Safety,Valid,Open,"1 day, 4 hours ago","The aircraft is descending to land at 746ft RAD ALT, 18 Kts GS, -799 fpm, maximum pitch recorded was 16.3 deg (8 Hz) < 1 second",Aircraft positioning for a winch in complex terrain. Acft well handled. Safe. Nil crew contact.
67722315,,WH1-AW139,VH-ZXD,TMW,,3,Eng Torque Low Below 300ft AGL,67722315,ETB300,2025-12-30 19:58:27Z,16.2 %,< 17.0 %,Safety,Valid,Open,"1 week, 6 days ago","The aircraft is descending: 291 ft RAD Alt, 78 kts, -277 fpm. The lowest recorded engine torque was Eng(1) at 16.5%, Eng (2) at 16.2% , below 17% for ~ 4 seconds.",Ferry flight conducted by single pilot & therefore low AUW. Aircraft well controlled. Nil crew contact. Entered by JF.
67684401,,WH1-AW139,VH-ZXA,LSY,ARM,3,Fuel qty low warn,67684401,FEX210,2025-12-30 11:50:23Z,16 s,≥ 10 s,Safety,Valid,Open,"1 week, 5 days ago",Fuel Qty Low duration recorded was 16 seconds.,Above minimum fuel required on landing. No crew contact or FDM report required
67684401,,WH1-AW139,VH-ZXA,LSY,ARM,3,Pitch hi 1000-500ft,67684401,LPA000,2025-12-30 11:14:06Z,17.4 deg,≥ 16.0 deg,Safety,Valid,Open,"1 week, 5 days ago","The aircraft is descending , 506ft RAD ALT, 20 Kts GS, -64 fpm. Maximum pitch recorded was 17.4 deg for 1 second",As above
67684401,,WH1-AW139,VH-ZXA,LSY,ARM,3,Pitch hi 1000-500ft,67684401,LPA000,2025-12-30 10:42:56Z,16.5 deg,≥ 16.0 deg,Safety,Valid,Open,"1 week, 5 days ago","The aircraft is descending, 796ft RAD ALT, 12 Kts, -504 fpm. Maximum pitch recorded was 16.5 deg for 1 second",Safe flight while setting up for cliff face winching. No crew contact or FDM report submitted.
67658257,,WH1-AW139,VH-ZXA,,,3,Pitch lo 35-400ft,67658257,TPA012,2025-12-29 04:34:28Z,-18.6 deg,≤ -17.0 deg,Safety,Valid,Open,2 weeks ago,"the aircraft is climbing thru 113 ft RAD Alt, GS 6kts, 663 fpm. -18.6 degrees of pitch for < 1 second @8Hz",Safe departure from Oval using a higher than normal nose down attitude. No crew contact made or safety report submitted
67638820,,WH1-AW139,VH-XIB,TMW,,3,Eng Torque Low Below 300ft AGL,67638820,ETB300,2025-12-28 06:18:04Z,15.5 %,< 17.0 %,Safety,Valid,Open,"1 week, 6 days ago","The lowest recorded engine torque was Eng(1) at 15.5%, Eng (2) at 17.8% , for ~ 1 second. The threshold for Level 3 Engine Torque Below 300 Ft < 17.0 %",High terrain under approach path. Approach stabilised at 300ft above landing site. Nil crew contact. Entered by JF.
67620456,,WH1-AW139,VH-XIB,TMW,CFS,3,Roll hi 20ft tdwn,67620456,LRA002,2025-12-27 02:25:29Z,-22.0 deg,≥ ± 20.0 deg,Safety,Valid,Open,"1 week, 6 days ago","The aircraft is in a left turn, descending to land, 17ft RAD Alt, 25 Kt GS, -159 VS, Maximum roll recorded was - 22.0 deg for 1 second.",Conducting controlled air taxi maneuvering to vacate runway at Class D aerodrome. Nil crew contact. Entered by JF.
67521355,,WH1-AW139,VH-ZXD,,TMW,3,GB chip warn,67521355,FEX021,2025-12-24 09:25:05Z,12 s,≥ 2 s,Maintenance,Valid,Open,3 weeks ago,"The aircraft is on the ground The GB chip warn recorded three times with durations of 76, 68 and 12 seconds respectively.",Valid indication. Aircraft is airborne. MGB chip burner function performed to clear. Crew contact made. FSR816 refers. Entered by JF.
